N,P,X,Cmap,Parents,Children
54,0.1,4,51432,26064,27336
54,0.1,5,72184,50968,52256
55,0.1,1,55688,43952,45264
55,0.1,2,64632,56240,57552
55,0.1,3,58560,41368,42680
55,0.1,4,104296,64080,65392
55,0.1,5,110112,56680,57992
56,0.1,1,89880,61280,62616
56,0.1,2,73280,51640,52976
56,0.1,3,65224,35568,36904
56,0.1,4,108512,71960,73296
56,0.1,5,50576,38504,39840
57,0.1,1,78528,44208,45568
57,0.1,2,81872,43112,44472
57,0.1,3,98800,46080,47440
57,0.1,4,88176,65840,67200
57,0.1,5,75824,55096,56456
58,0.1,1,141856,66536,67920
58,0.1,2,72440,48408,49792
58,0.1,3,99280,58568,59952
58,0.1,4,74456,47952,49336
58,0.1,5,81128,41440,42824
59,0.1,1,66080,33744,35152
59,0.1,2,63104,42112,43520
59,0.1,3,83056,49544,50952
59,0.1,4,122920,71536,72944
59,0.1,5,74896,59400,60808
60,0.1,1,145384,69728,71160
60,0.1,2,105784,63216,64648
60,0.1,3,99944,57840,59272
60,0.1,4,114632,60728,62160
60,0.1,5,88384,55928,57360
61,0.1,1,98984,49416,50872
61,0.1,2,92456,59096,60552
61,0.1,3,89040,50752,52208
61,0.1,4,149592,74424,75880
61,0.1,5,94328,60272,61728
62,0.1,1,96928,53528,55008
62,0.1,2,130168,65184,66664
62,0.1,3,93376,55488,56968
62,0.1,4,93984,64024,65504
62,0.1,5,78936,54728,56208
63,0.1,1,134536,81264,82768
63,0.1,2,130536,65152,66656
63,0.1,3,76120,43520,45024
63,0.1,4,134032,74440,75944
63,0.1,5,96000,60592,62096
64,0.1,1,104368,68056,69584
64,0.1,2,154240,68408,69920
64,0.1,3,138752,70672,72200
64,0.1,4,79184,51632,53144
