N,P,X,Filesize,Cachesize
92,0.1,3,36864,29488
92,0.1,4,32768,97544
92,0.1,5,28672,26400
93,0.1,1,32768,48952
93,0.1,2,32768,77528
93,0.1,3,36864,50528
93,0.1,4,28672,22880
93,0.1,5,28672,23736
94,0.1,1,28672,87128
94,0.1,2,28672,51648
94,0.1,3,24576,19896
94,0.1,4,32768,33784
94,0.1,5,32768,39056
95,0.1,1,28672,55504
95,0.1,2,28672,50096
95,0.1,3,32768,44040
95,0.1,4,32768,53288
95,0.1,5,28672,27264
96,0.1,1,28672,26400
96,0.1,2,28672,65984
96,0.1,3,32768,30520
96,0.1,4,28672,35320
96,0.1,5,28672,140576
97,0.1,1,32768,39512
97,0.1,2,32768,111416
97,0.1,3,32768,58864
97,0.1,4,32768,35120
97,0.1,5,28672,31048
98,0.1,1,32768,59312
98,0.1,2,32768,100912
98,0.1,3,32768,24992
98,0.1,4,32768,72272
98,0.1,5,28672,25648
99,0.1,1,32768,52824
99,0.1,2,36864,39440
